Name,Gender,Race,Status,s_01,e_01,p_01,s_02,e_02,p_02,s_03,e_03,p_03,s_04,e_04,p_04,s_05,e_05,p_05,s_06,e_06,p_06
Mary Tinglof,Female,White,Deceased,1959,1964,LAUSD AL 2,,,,,,,,,,,,,,,
Bruce Young,Male,White,Inactive,1976,1983,Assembly District 63,,,,,,,,,,,,,,,
John Rousselot,Male,White,Deceased,1960,1961,US District 25,1970,1973,US District 24,1974,1981,US District 26,,,,,,,,,
Joe E. Hollingsworth,Male,White,Deceased,1961,1962,LA District 10,,,,,,,,,,,,,,,
James Roosevelt,Male,White,Deceased,1959,1965,US District 26,,,,,,,,,,,,,,,
John Harmer,Male,White,Inactive,1966,1973,Senate District 21,,,,,,,,,,,,,,,
Robert M. Wilkinson,Male,White,Deceased,1967,1978,LA District 12,,,,,,,,,,,,,,,
Joseph Shell,Male,White,,1960,1961,Assembly District 58,,,,,,,,,,,,,,,
Jim Keysor,Male,White,Deceased,1970,1973,Assembly District 41,1974,1977,Assembly District 39,,,,,,,,,,,,
Barry Goldwater, Jr.,Male,White,Inactive,1968,1973,US District 27,1975,1982,US District 20,,,,,,,,,,,,
Charles Wiggins,Male,White,,1966,1973,US District 25,,,,,,,,,,,,,,,
Herman Smith,Male,White,,1959,1959,Assembly District 55,,,,,,,,,,,,,,,
Beverly O'Neill,Female,White,Inactive,1994,2005,Long Beach Mayor,,,,,,,,,,,,,,,
Ernest Debs,Male,White,,1959,1974,County District 3,,,,,,,,,,,,,,,
James Brown,Male,White,,1959,1964,LA District 13,,,,,,,,,,,,,,,
Allen Miller,Male,White,,1959,1959,Assembly District 41,,,,,,,,,,,,,,,
Ransom Callicott,Male,White,,1959,1961,LA District 12,,,,,,,,,,,,,,,
Mike Antonovich,Male,White,t/o,1969,1972,LACCD 4,1972,1973,Assembly District 43,1974,1977,Assembly District 41,1980,2016,County District 5,,,,,,
Betty Karnette,Female,White,Inactive,1992,1993,Assembly District 54,1996,2003,Senate District 27,2004,2007,Assembly District 54,,,,,,,,,
Sanford ""Sandy"" Weiner,Male,White,,1959,1959,Assembly District 59,,,,,,,,,,,,,,,
C. Lemoine Blanchard,Male,White,,1959,1962,LA District 02,,,,,,,,,,,,,,,
Jim Cramer,Male,White,,1980,1981,Assembly District 65,,,,,,,,,,,,,,,
John Holland ,Male,White,,1959,1966,LA District 14,,,,,,,,,,,,,,,
Harvey Johnson,Male,White,,1962,1973,Assembly District 58,,,,,,,,,,,,,,,
David Negri,Male,White,,1966,1967,Assembly District 41,,,,,,,,,,,,,,,
Rudy Svornich ,Male,White,,1993,2000,LA District 15,,,,,,,,,,,,,,,
David Tokofsky,Male,White,,1995,2006,LAUSD D 5,,,,,,,,,,,,,,,
Sally Tanner,Female,White,,1978,1989,Assembly District 60,,,,,,,,,,,,,,,
Frank Bonnelli,Male,White,,1960,1971,County District 1,,,,,,,,,,,,,,,
Tom McClintock,Male,White,Inactive,1996,1999,Assembly District 38,2000,2007,Senate District 19,,,,,,,,,,,,
Tom Waite,Male,White,,1962,1963,Assembly District 62,,,,,,,,,,,,,,,
Peggy Stevenson,Female,White,Deceased,1975,1984,LA District 13,,,,,,,,,,,,,,,
Houston Flourney,Male,White,,1960,1965,Assembly District 49,,,,,,,,,,,,,,,
Edward Elliot,Male,White,,1959,1967,Assembly District 40,,,,,,,,,,,,,,,
John Van De Kamp,Male,White,,1975,1981,County District Attorney,,,,,,,,,,,,,,,
Bob Ronka,Male,White,,1977,1980,LA District 01,,,,,,,,,,,,,,,
Phillip Watson,Male,White,,1963,1977,Assessor,,,,,,,,,,,,,,,
George Deukmejian,Male,White,Inactive,1962,1965,Assembly District 39,1976,1978,Senate District 31,,,,,,,,,,,,
Evelle Younger,Male,White,,1964,1970,County District Attorney,,,,,,,,,,,,,,,
Robert ""Bob"" Lagomarsino,Male,White,,1966,1973,Senate District 24,,,,,,,,,,,,,,,
Leslie Les Rice,Male,White,,1959,1959,Assembly District 54,,,,,,,,,,,,,,,
Anthony Adams,Male,White,,2006,2009,Assembly District 59,,,,,,,,,,,,,,,
Al McCandless,Male,White,,1982,1991,US District 37,,,,,,,,,,,,,,,
Ed Davis,Male,White,,1980,1991,Senate District 19,,,,,,,,,,,,,,,
Richard Nevins,Male,White,,1959,1986,BOE District 4,,,,,,,,,,,,,,,
Peter Pitchess,Male,White,,1959,1981,Sheriff,,,,,,,,,,,,,,,
Paul Carpenter,Male,White,Deceased,1984,1986,Senate District 33,1987,1989,BOE District 4,,,,,,,,,,,,
Charles Smoot,Male,White,,1959,1966,LAUSD AL 3,,,,,,,,,,,,,,,
Vincent Thomas,Male,White,Deceased,1959,1973,Assembly District 68,1974,1977,Assembly District 52,,,,,,,,,,,,
Cecil Green,Male,White,,1987,1991,Senate District 33,,,,,,,,,,,,,,,
Norris Poulson,Male,White,,1959,1960,Mayor,,,,,,,,,,,,,,,
Bill Leonard,Male,White,Inactive,1988,1991,Senate District 25,1992,1995,Senate District 31,2004,2009,BOE District 2,,,,,,,,,
Robert Dornan,Male,White,,1988,1991,US District 38,,,,,,,,,,,,,,,
Cathie Wright,Female,White,Deceased,1980,1991,Assembly District 37,1992,1999,Senate District 19,,,,,,,,,,,,
Paul Lamport,Male,White,,1965,1968,LA District 13,,,,,,,,,,,,,,,
Floyd Wakefield ,Male,White,,1968,1973,Assembly District 52,,,,,,,,,,,,,,,
Robert Beverly,Male,White,Deceased,1968,1973,Assembly District 46,1974,1975,Assembly District 51,1976,1995,Senate District 27,1984,1991,Senate District 29,,,,,,
Rick Tuttle,Male,White,Inactive,1977,1984,LACCD 7,1985,2000,City Controller,,,,,,,,,,,,
L.E. Timberlake,Male,White,,1959,1968,LA District 06,,,,,,,,,,,,,,,
Louis Nowell,Male,White,,1963,1976,LA District 01,,,,,,,,,,,,,,,
Jim Lloyd,Male,White,,1974,1979,US District 35,,,,,,,,,,,,,,,
Cecil King,Male,White,,1959,1965,US District 17,,,,,,,,,,,,,,,
Cindy Miscikowski,Female,White,,1997,2004,LA District 11,,,,,,,,,,,,,,,
Patrick Owens,Male,White,,1989,1992,LACCD 2,,,,,,,,,,,,,,,
Dick Mountjoy,Male,White,Deceased,1978,1981,Assembly District 61,1980,1991,Assembly District 42,1992,1994,Assembly District 59,,,,,,,,,
Carley Porter,Male,White,Deceased,1959,1961,Assembly District 69,1962,1973,Assembly District 38,,,,,,,,,,,,
Don Knabe,Male,White,t/o,1996,2016,County District 4,,,,,,,,,,,,,,,
George Brown,Male,White,Deceased,1959,1961,Assembly District 45,1962,1969,US District 29,,,,,,,,,,,,
Jeff Gorell,Male,White,Inactive,2010,2011,Assembly District 37,2012,2013,Assembly District 44,,,,,,,,,,,,
J. Robert Hayes,Male,White,,1978,1979,Assembly District 39,,,,,,,,,,,,,,,
Tom LaBonge,Male,White,,2000,2014,LA District 04,,,,,,,,,,,,,,,
Patrick O'Donnell,Male,White,Active,2014,2016,Assembly District 70,,,,,,,,,,,,,,,
Bill Ivers,Male,White,,1978,1979,Assembly District 42,,,,,,,,,,,,,,,
James Potter,Male,White,,1963,1970,LA District 02,,,,,,,,,,,,,,,
Ed Royce,Male,White,Active,1982,1991,Senate District 32,1992,2001,US District 39,2002,2011,US District 40,2012,2016,US District 39,,,,,,
Clayton Dills,Male,White,,1959,1965,Assembly District 67,,,,,,,,,,,,,,,
Matthew Dababneh,Male,White,Active,2013,2016,Assembly District 45,,,,,,,,,,,,,,,
James Hayes,Male,White,,1966,1971,Assembly District 39,,,,,,,,,,,,,,,
Richard Vladovic,Male,White,,2007,2016,LAUSD D 7,,,,,,,,,,,,,,,
Harold Garvin,Male,White,,1979,1990,LACCD 5,,,,,,,,,,,,,,,
Warren Dorn,Male,White,,1959,1971,County District 5,,,,,,,,,,,,,,,
Richard Mountjoy,Male,White,,1995,1999,Senate District 29,,,,,,,,,,,,,,,
Kevin McCarthy,Male,White,Inactive,2006,2011,US District 22,2012,2016,US District 23,,,,,,,,,,,,
Harold Leveving,Male,White,,1960,1961,Assembly District 60,,,,,,,,,,,,,,,
Kenneth P. Hahn,Male,White,,1990,1999,Assessor,,,,,,,,,,,,,,,
Chet Holifield,Male,White,,1959,1971,US District 19,,,,,,,,,,,,,,,
Ernest Geddes,Male,White,,1959,1959,Assembly District 49,,,,,,,,,,,,,,,
John Greenwood,Male,White,,1979,1986,LAUSD D 7,,,,,,,,,,,,,,,
Dennis Zine,Male,White,,2001,2012,LA District 03,,,,,,,,,,,,,,,
Alexander Pope,Male,White,,1978,1985,Assessor,,,,,,,,,,,,,,,
Pat Rusell,Female,White,,1969,1986,LA District 06,,,,,,,,,,,,,,,
Thomas Shepard,Male,White,,1961,1968,LA District 03,,,,,,,,,,,,,,,
Glenard Lipscomb,Male,White,,1959,1969,US District 24,,,,,,,,,,,,,,,
Paul Horcher,Male,White,Inactive,1990,1991,Assembly District 52,1990,1995,Assembly District 60,,,,,,,,,,,,
Charles Chapel,Male,White,,1959,1967,Assembly District 46,,,,,,,,,,,,,,,
John Gibson Jr. ,Male,White,,1959,1980,LA District 15,,,,,,,,,,,,,,,
James Corman,Male,White,Deceased,1959,1960,LA District 07,1960,1973,US District 22,1972,1977,US District 21,,,,,,,,,
William Campbell,Male,White,Deceased,1966,1971,Assembly District 50,1974,1975,Assembly District 64,1976,1983,Senate District 33,1984,1991,Senate District 31,,,,,,
John Cassidy,Male,White,,1962,1966,LA District 12,,,,,,,,,,,,,,,
Shirley Pettis,Female,White,,1975,1977,US District 37,,,,,,,,,,,,,,,
Wayne Grisham,Male,White,Deceased,1978,1981,US District 33,1984,1987,Assembly District 63,,,,,,,,,,,,
Everett Burkhalter,Male,White,Deceased,1959,1962,LA District 01,1962,1963,US District 27,,,,,,,,,,,,
Joan Milke-Flores ,Female,White,,1981,1992,LA District 15,,,,,,,,,,,,,,,
David Easton,Male,White,,1959,1959,Assembly District 58,,,,,,,,,,,,,,,
Mitch O'Farrell,Male,White,Active,2013,2016,LA District 13,,,,,,,,,,,,,,,
Martin Schnitzer,Male,White,,1959,1959,Assembly District 60,,,,,,,,,,,,,,,
Dana Rohrabacher,Male,White,Inactive,1988,1991,US District 42,2002,2011,US District 46,,,,,,,,,,,,
Steven Kuykendall,Male,White,Inactive,1994,1997,Assembly District 54,1998,1999,US District 36,,,,,,,,,,,,
Paul Carpenter ,Male,White,,1976,1983,Senate District 37,,,,,,,,,,,,,,,
Donald L. Jackson,Male,White,,1959,1960,US District 16,,,,,,,,,,,,,,,
Patrick D. McGee,Male,White,Deceased,1959,1960,LA District 03,1966,1969,Assembly District 64,,,,,,,,,,,,
Phillip Wyman,Male,White,,1976,1981,Assembly District 34,,,,,,,,,,,,,,,
Mike Cullen,Male,White,Inactive,1966,1973,Assembly District 44,1974,1977,Assembly District 57,,,,,,,,,,,,
Jim McDonnell,Male,White,Active,2014,2016,Sheriff,,,,,,,,,,,,,,,
Charles Conrad,Male,White,,1960,1971,Assembly District 57,,,,,,,,,,,,,,,
Steve Knight,Male,White,ELECTION,2008,2011,Assembly District 36,2012,2013,Senate District 21,2014,2016,US District 25,,,,,,,,,
Bill Thomas,Male,White,,2002,2005,US District 22,,,,,,,,,,,,,,,
Newton Russell,Male,White,Deceased,1964,1973,Assembly District 62,1974,1995,Senate District 21,,,,,,,,,,,,
Tom C. Carrell,Male,White,Deceased,1960,1965,Assembly District 41,1966,1973,Senate District 22,,,,,,,,,,,,
Robert Cline,Male,White,Inactive,1969,1970,LACCD 1,1970,1973,Assembly District 64,1974,1979,Assembly District 37,,,,,,,,,
Anthony Portantino,Male,White,,2006,2011,Assembly District 44,,,,,,,,,,,,,,,
John Ferraro,Male,White,,1966,1999,LA District 04,,,,,,,,,,,,,,,
Howard ""Buck"" McKeon,Male,White,,1992,2013,US District 25,,,,,,,,,,,,,,,
Henry Arklin,Male,White,,1968,1969,Assembly District 41,,,,,,,,,,,,,,,
Tom Hayden,Male,White,Inactive,1982,1991,Assembly District 44,1992,1999,Senate District 23,,,,,,,,,,,,
William H. Lancaster,Male,White,Deceased,1972,1973,Assembly District 49,1974,1991,Assembly District 62,,,,,,,,,,,,
Bob Foster,Male,White,,2006,2013,Long Beach Mayor,,,,,,,,,,,,,,,
Gary Miller,Male,White,Inactive,1996,1997,Assembly District 60,2002,2011,US District 42,,,,,,,,,,,,
Philip Bardos,Male,White,,1971,1978,LAUSD AL 7,,,,,,,,,,,,,,,
Bob Huff,Male,White,ELECTION,2004,2007,Assembly District 60,2008,2016,Senate District 29,,,,,,,,,,,,
Edgar Hiestand,Male,White,,1959,1961,US District 21,,,,,,,,,,,,,,,
Jim Rogan,Male,White,Inactive,1994,1995,Assembly District 43,1996,1999,US District 27,,,,,,,,,,,,
George R. Reilly,Male,White,,1959,1981,BOE District 1,,,,,,,,,,,,,,,
Charles Navarro,Male,White,Deceased,1959,1960,LA District 10,1961,1976,City Controller,,,,,,,,,,,,
Phil Hawkins,Male,White,,1994,1995,Assembly District 56,,,,,,,,,,,,,,,
Conway H. Collis,Male,White,,1982,1989,BOE District 2,,,,,,,,,,,,,,,
Harold Henry,Male,White,,1959,1965,LA District 04,,,,,,,,,,,,,,,
Scott Wilk,Male,White,ELECTION,2012,2016,Assembly District 38,,,,,,,,,,,,,,,
Mike Lansing,Male,White,,1999,2006,LAUSD D 7,,,,,,,,,,,,,,,
Dennis Mountjoy,Male,White,,2000,2005,Assembly District 59,,,,,,,,,,,,,,,
Caprice Young,Female,White,Inactive,1999,2002,LAUSD D 3,,,,,,,,,,,,,,,
Seth Johnson,Male,White,,1959,1959,Assembly District 56,,,,,,,,,,,,,,,
Jon Lauritzen,Male,White,,2003,2006,LAUSD D 3,,,,,,,,,,,,,,,
Richard Hanna,Male,White,,1962,1973,US District 34,,,,,,,,,,,,,,,
Frank Lanterman,Male,White,Deceased,1959,1961,Assembly District 48,1962,1973,Assembly District 47,1974,1977,Assembly District 42,,,,,,,,,
Richard Ferraro,Male,White,Deceased,1969,1978,LAUSD AL 6,1979,1982,LAUSD D 5,,,,,,,,,,,,
Mike Gordon ,Male,White,,2004,2004,Assembly District 53,,,,,,,,,,,,,,,
Kathleen Brown,Female,White,Inactive,1975,1978,LAUSD AL 1,1979,1979,LAUSD D 3,,,,,,,,,,,,
David Dreier,Male,White,Inactive,1980,1981,US District 35,1982,1991,US District 33,1992,2001,US District 28,2002,2011,US District 26,,,,,,
Tom Lackey,Male,White,Active,2014,2016,Assembly District 36,,,,,,,,,,,,,,,
Kelly Candaele,Male,White,,1997,2012,LACCD 4,,,,,,,,,,,,,,,
George Deukmejian ,Male,White,,1966,1975,Senate District 37,,,,,,,,,,,,,,,
Bob Dornan,Male,White,,1976,1981,US District 27,,,,,,,,,,,,,,,
Tom Rees,Male,White,Deceased,1960,1961,Assembly District 59,1966,1973,US District 26,1974,1975,US District 23,,,,,,,,,
Tom Rees ,Male,White,,1962,1965,Senate District 38,,,,,,,,,,,,,,,
Patrick Nolan,Male,White,Inactive,1978,1991,Assembly District 41,1992,1993,Assembly District 43,,,,,,,,,,,,
Roger Arnebergh,Male,White,,1959,1972,City Attorney,,,,,,,,,,,,,,,
Wallace Albertson,Male,White,,1977,1988,LACCD 6,,,,,,,,,,,,,,,
Del Clawson,Male,White,Deceased,1964,1973,US District 23,1974,1977,US District 33,,,,,,,,,,,,
Tom Mays,Male,White,,1990,1991,Assembly District 58,,,,,,,,,,,,,,,
Montievel Burke ,Male,White,,1959,1961,Assembly District 53,,,,,,,,,,,,,,,
Bob McLennan,Male,White,,1974,1975,Assembly District 63,,,,,,,,,,,,,,,
Robert Dutton,Male,White,,2004,2011,Senate District 31,,,,,,,,,,,,,,,
Kenneth F. Hahn,Male,White,,1959,1991,County District 2,,,,,,,,,,,,,,,
Carlos Moorhead,Male,White,Deceased,1966,1971,Assembly District 43,1973,1974,US District 20,1974,1991,US District 22,1992,1995,US District 27,,,,,,
Lawrence Walsh,Male,White,,1966,1973,Senate District 30,,,,,,,,,,,,,,,
Georgiana Hardy,Female,White,,1959,1974,LAUSD AL 5,,,,,,,,,,,,,,,
Ernani Bernardi,Male,White,,1961,1992,LA District 07,,,,,,,,,,,,,,,
Marlene Canter,Female,White,,2001,2009,LAUSD D 4,,,,,,,,,,,,,,,
Tom Bartman,Male,White,,1981,1986,LAUSD D 6,,,,,,,,,,,,,,,
Janice Hahn,Female,White,ELECTION,2001,2011,LA District 15,2012,2016,US District 44,,,,,,,,,,,,
Art Snyder ,Male,White,,1967,1984,LA District 14,,,,,,,,,,,,,,,
Hugh Willet,Male,White,,1959,1968,LAUSD AL 4,,,,,,,,,,,,,,,
Vernon Kilpatrick,Male,White,,1960,1961,Assembly District 55,,,,,,,,,,,,,,,
Frederic Wyatt,Male,White,,1969,1976,LACCD 6,,,,,,,,,,,,,,,
Betsy Butler ,Female,White,,2010,2011,Assembly District 53,,,,,,,,,,,,,,,
Mike Roos,Male,White,,1978,1991,Assembly District 46,,,,,,,,,,,,,,,
Cameron Smyth,Male,White,,2006,2011,Assembly District 38,,,,,,,,,,,,,,,
Mike Gatto,Male,White,t/o,2010,2016,Assembly District 43,,,,,,,,,,,,,,,
Don Rogers,Male,White,,1992,1995,Senate District 17,,,,,,,,,,,,,,,
Ronald B. Cameron,Male,White,Deceased,1959,1961,Assembly District 50,1962,1965,US District 25,,,,,,,,,,,,
Arthur Gardner,Male,White,,1959,1970,LAUSD AL 7,,,,,,,,,,,,,,,
Baxter Ward,Male,White,,1972,1979,County District 5,,,,,,,,,,,,,,,
Herbert Legg,Male,White,,1959,1959,County District 1,,,,,,,,,,,,,,,
James ""Joe"" Holt,Male,White,,1959,1959,US District 22,,,,,,,,,,,,,,,
Tony Strickland,Male,White,Inactive,2002,2003,Assembly District 37,2008,2011,Senate District 19,,,,,,,,,,,,
Robert Stevens,Male,White,Deceased,1962,1965,Assembly District 60,1966,1975,Senate District 25,,,,,,,,,,,,
Bill Bond,Male,White,,1972,1973,Assembly District 39,,,,,,,,,,,,,,,
John Quinn,Male,White,,1959,1962,Assessor,,,,,,,,,,,,,,,
Claude Parrish,Male,White,,1998,2005,BOE District 3,,,,,,,,,,,,,,,
Dave Elder,Male,White,,1978,1991,Assembly District 57,,,,,,,,,,,,,,,
Charles H. Wilson,Male,White,Deceased,1959,1961,Assembly District 66,1962,1979,US District 31,,,,,,,,,,,,
Sherman Block,Male,White,,1982,1997,Sheriff,,,,,,,,,,,,,,,
H.L. ""Bill"" Richardson,Male,White,Inactive,1966,1972,Senate District 19,1976,1987,Senate District 25,,,,,,,,,,,,
Peter Schabarum,Male,White,Inactive,1966,1971,Assembly District 49,1972,1990,County District 1,,,,,,,,,,,,
Paul V. Priolo,Male,White,Inactive,1966,1973,Assembly District 60,1974,1979,Assembly District 38,,,,,,,,,,,,
Dan Hoye,Male,White,,1959,1960,City Controller,,,,,,,,,,,,,,,
Paul Zeltner,Male,White,,1986,1987,Assembly District 54,,,,,,,,,,,,,,,
Marion LaFollette,Female,White,Inactive,1969,1974,LACCD 7,1980,1989,Assembly District 38,,,,,,,,,,,,
Bill Hoge,Male,White,,1992,1995,Assembly District 44,,,,,,,,,,,,,,,
Frank C. Hill,Male,White,Inactive,1982,1989,Assembly District 52,1992,1994,Senate District 29,,,,,,,,,,,,
Richard Riordan,Male,White,,1993,2000,Mayor,,,,,,,,,,,,,,,
Joseph Kennick,Male,White,Inactive,1959,1965,Assembly District 44,1966,1975,Senate District 33,,,,,,,,,,,,
Burton Chace,Male,White,,1959,1971,County District 4,,,,,,,,,,,,,,,
Adrin Nazarian,Male,White,Active,2012,2016,Assembly District 46,,,,,,,,,,,,,,,
Jerry Lewis,Male,White,Inactive,1978,1981,US District 37,1982,1991,US District 35,1988,1991,US District 36,,,,,,,,,
Fred Chel,Male,White,,1974,1977,Assembly District 58,,,,,,,,,,,,,,,
William Munnell ,Male,White,,1959,1961,Assembly District 51,,,,,,,,,,,,,,,
William Coombs,Male,White,,1966,1973,Senate District 20,,,,,,,,,,,,,,,
Craig Hosmer,Male,White,Deceased,1959,1959,US District 18,1962,1973,US District 32,,,,,,,,,,,,
Gordon McDonough,Male,White,,1959,1959,US District 15,,,,,,,,,,,,,,,
Mike Bonin,Male,White,Active,2013,2016,LA District 11,,,,,,,,,,,,,,,
Dennis Brown,Male,White,,1978,1989,Assembly District 58,,,,,,,,,,,,,,,
Charles Warren,Male,White,Inactive,1962,1973,Assembly District 56,1974,1977,Assembly District 46,,,,,,,,,,,,
Jerry Brown,Male,White,,1969,1970,LACCD 2,,,,,,,,,,,,,,,
Deane Dana,Male,White,,1980,1995,County District 4,,,,,,,,,,,,,,,
David Armor,Male,White,,1985,1985,LAUSD D 6,,,,,,,,,,,,,,,
William ""Pete"" Knight,Male,White,Deceased,1992,1995,Assembly District 36,1996,2003,Senate District 17,,,,,,,,,,,,
Bruce Reagaiv,Male,White,,1959,1961,Assembly District 47,,,,,,,,,,,,,,,
Elton Gallegly,Male,White,Inactive,1986,1989,US District 21,1992,2001,US District 23,2002,2011,US District 24,,,,,,,,,
Dick Floyd,Male,White,Deceased,1980,1991,Assembly District 53,1996,1999,Assembly District 55,,,,,,,,,,,,
Bob Margett,Male,White,Inactive,1995,1999,Assembly District 59,2000,2007,Senate District 29,,,,,,,,,,,,
Harry Sheppard,Male,White,,1962,1963,US District 33,,,,,,,,,,,,,,,
Bill Rosendahl,Male,White,,2005,2012,LA District 11,,,,,,,,,,,,,,,
Carmen Trutanich,Male,White,,2009,2012,City Attorney,,,,,,,,,,,,,,,
James ""Jimmy"" Hahn,Male,White,Inactive,1981,1984,City Controller,1985,2000,City Attorney,2001,2004,Mayor,,,,,,,,,
Paula Boland,Female,White,,1990,1995,Assembly District 38,,,,,,,,,,,,,,,
H. Allen Smith,Male,White,,1959,1972,US District 20,,,,,,,,,,,,,,,
Howard Thelin,Male,White,,1959,1965,Assembly District 43,,,,,,,,,,,,,,,
William McKesson,Male,White,Deceased,1959,1963,County District Attorney,,,,,,,,,,,,,,,
Alphonzo E. Bell, Jr.,Male,White,Deceased,1961,1962,US District 16,1962,1973,US District 28,1974,1975,US District 27,,,,,,,,,
Gray Davis,Male,White,,1982,1985,Assembly District 43,,,,,,,,,,,,,,,
Tim Donnelly,Male,White,,2010,2011,Assembly District 59,,,,,,,,,,,,,,,
Robert Hayes,Male,White,,1972,1977,County District 4,,,,,,,,,,,,,,,
Clyde Doyle,Male,White,Deceased,1959,1963,US District 23,,,,,,,,,,,,,,,
George Kasem,Male,White,Deceased,1959,1959,US District 25,,,,,,,,,,,,,,,
Lester McMillan,Male,White,,1959,1967,Assembly District 61,,,,,,,,,,,,,,,
Fred Aguiar,Male,White,Inactive,1992,1997,Assembly District 61,,,,,,,,,,,,,,,
Charles Manfred,Male,White,,1959,1959,Assembly District 57,,,,,,,,,,,,,,,
John Lynch,Male,White,Deceased,1986,1989,Assessor,,,,,,,,,,,,,,,
Marilyn Ryan ,Female,White,Deceased,1976,1981,Assembly District 51,,,,,,,,,,,,,,,
Robert Moretti,Male,White,Deceased,1964,1973,Assembly District 42,,,,,,,,,,,,,,,
David Roberti,Male,White,Inactive,1966,1971,Assembly District 48,1972,1973,Senate District 27,1976,1991,Senate District 23,,,,,,,,,
William ""Bill"" Grant,Male,White,,1959,1961,Assembly District 70,,,,,,,,,,,,,,,
Joe Gonsalves,Male,White,Deceased,1962,1973,Assembly District 66,,,,,,,,,,,,,,,
Scott Schmerelson,Male,White,Active,2015,2016,LAUSD D 3,,,,,,,,,,,,,,,
Mike Morrell,Male,White,Active,2014,2016,Senate District 23,,,,,,,,,,,,,,,
Bill Emmerson,Male,White,,2012,2013,Senate District 23,,,,,,,,,,,,,,,
