Name,Gender,Race,Status,s_01,e_01,p_01,s_02,e_02,p_02,s_03,e_03,p_03,s_04,e_04,p_04,s_05,e_05,p_05,s_06,e_06,p_06
Richard Bloom,Male,Jewish,Active,2012,2016,Assembly District 50,,,,,,,,,,,,,,,
Ben Allen,Male,Jewish,Active,2014,2016,Senate District 26,,,,,,,,,,,,,,,
Jackie Goldberg,Female,Jewish,Inactive,1983,1990,LAUSD D 3,1993,2000,LA District 13,2000,2005,Assembly District 45,,,,,,,,,
Terry Friedman,Male,Jewish,Inactive,1986,1991,Assembly District 43,1992,1993,Assembly District 41,,,,,,,,,,,,
Monroe Richman,Male,Jewish,,1971,1986,LACCD 1,,,,,,,,,,,,,,,
Lloyd Levine,Male,Jewish,,2002,2007,Assembly District 40,,,,,,,,,,,,,,,
Nancy Pearlman,Female,Jewish,,2001,2016,LACCD 6,,,,,,,,,,,,,,,
Elizabeth Garfield,Female,Jewish,,1993,2000,LACCD 2,,,,,,,,,,,,,,,
Tamar Galatzan,Female,Jewish,,2007,2014,LAUSD D 3,,,,,,,,,,,,,,,
Bob Blumenfield,Male,Jewish,Active,2008,2011,Assembly District 40,2012,2012,Assembly District 45,2013,2016,LA District 03,,,,,,,,,
Jack Weiss,Male,Jewish,,2001,2008,LA District 05,,,,,,,,,,,,,,,
Mark Slavkin,Male,Jewish,,1989,1996,LAUSD D 4,,,,,,,,,,,,,,,
Bob Hertzberg,Male,Jewish,Active,1996,2001,Assembly District 40,2014,2016,Senate District 18,,,,,,,,,,,,
Wally Knox,Male,Jewish,Inactive,1987,1994,LACCD 1,1994,1999,Assembly District 42,,,,,,,,,,,,
Donald Newman,Male,Jewish,,1969,1975,LAUSD AL 2,,,,,,,,,,,,,,,
Jack Fenton,Male,Jewish,,1974,1979,Assembly District 59,,,,,,,,,,,,,,,
Arthur Bronson,Male,Jewish,,1971,1988,LACCD 2,,,,,,,,,,,,,,,
Sheila Kuehl,Female,Jewish,Active,1994,1999,Assembly District 41,2000,2007,Senate District 23,2014,2016,County District 3,,,,,,,,,
Scott Svonkin,Male,Jewish,,2010,2016,LACCD 5,,,,,,,,,,,,,,,
Marvin Braude,Male,Jewish,,1965,1996,LA District 11,,,,,,,,,,,,,,,
Mike Feuer,Male,Jewish,Active,1994,2000,LA District 05,2006,2011,Assembly District 42,2013,2016,City Attorney,,,,,,,,,
Adam Schiff,Male,Jewish,Active,1996,1999,Senate District 21,2000,2001,US District 27,2002,2011,US District 29,2012,2016,US District 28,,,,,,
Herschel Rosenthal,Male,Jewish,Deceased,1974,1981,Assembly District 45,1982,1993,Senate District 22,1994,1997,Senate District 20,,,,,,,,,
Ed Edelman,Male,Jewish,Inactive,1965,1974,LA District 05,1975,1993,County District 3,,,,,,,,,,,,
Roberta Weintraub,Female,Jewish,Inactive,1979,1980,LAUSD AL 6,1981,1992,LAUSD D 2,,,,,,,,,,,,
